source_task,arm,L,T,zeta,lam,N_c,R_index,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_unweighted_mean,gess_final,ess_cum_final,n_distinct_anc_final,brentq_fallbacks,result_path,exact_compatible
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,30,6.0,systematic,1168046,ok,1453.94,922,0.39927064420165265,0.39927064420165265,1.0,126.9750723502476,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00030.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,128,31,6.0,systematic,1168047,ok,1451.59,922,0.30840826486995054,0.30840826486995054,1.0,127.073730374141,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00031.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,0,6.0,systematic,1296016,ok,2479.58,922,0.47293671085772887,0.47293671085772887,1.0,254.11473522541183,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00032.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,1,6.0,systematic,1296017,ok,2489.03,922,0.3168595964339818,0.3168595964339818,1.0,254.30353057592006,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00033.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,2,6.0,systematic,1296018,ok,2423.88,922,0.23220916273354544,0.23220916273354544,1.0,254.02276597058915,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00034.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,3,6.0,systematic,1296019,ok,2371.82,922,0.2825618374253618,0.2825618374253618,1.0,253.97082106793914,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00035.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,4,6.0,systematic,1296020,ok,2347.31,922,0.3516078167761456,0.3516078167761456,1.0,254.1695145040882,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00036.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,5,6.0,systematic,1296021,ok,2350.34,922,0.24563083644736405,0.24563083644736405,1.0,253.70407284478722,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00037.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,6,6.0,systematic,1296022,ok,2370.65,922,0.48150079996963735,0.48150079996963735,1.0,254.10375516547597,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00038.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,7,6.0,systematic,1296023,ok,2370.38,922,0.4566987188104037,0.4566987188104037,1.0,254.30405650957968,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00039.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,8,6.0,systematic,1296024,ok,2305.31,922,0.16753011109336013,0.16753011109336013,1.0,253.9488341297648,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00040.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,9,6.0,systematic,1296025,ok,2710.59,922,0.1417118279665448,0.1417118279665448,1.0,254.2804021915994,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00041.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,10,6.0,systematic,1296026,ok,2672.95,922,0.24042541152858016,0.24042541152858016,1.0,254.51464178965935,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00042.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,11,6.0,systematic,1296027,ok,2699.21,922,0.28026187076760417,0.28026187076760417,1.0,253.86460510569648,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00043.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,12,6.0,systematic,1296028,ok,2721.27,922,0.3974330270694597,0.3974330270694597,1.0,254.20286629418823,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00044.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,13,6.0,systematic,1296029,ok,2679.89,922,0.5244373142313785,0.5244373142313785,1.0,254.4209445352203,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00045.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,14,6.0,systematic,1296030,ok,2722.43,922,0.4124516969996771,0.4124516969996771,1.0,253.84570665612753,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00046.json,yes
