dataset,source_file,r_alpha_over_w,git_commit,L,lambda,zeta,real,alpha,w,T,N_c,dtau,theta_hat,S_mean,S_std,eff_sample_size,n_T_mean,n_distinct_ancestors,CMI_mean,CMI_std,B_L_mean,B_L_std,S_AB_mean,wall_s,status
refine,pps/refine/L128_z0.350_lam0.2701/real010.json,0.3700506918755994,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2701,0.35,10,0.2701,0.7299,128.0,128,0.17491334501365782,-9.396571315475185,3.0737446825559824,0.2441265992100844,125.44307039719764,0.036999574223248614,1,0.9354709253308809,0.2832094906136519,2.8544474772533706,1.2054042826514608,2.9856733782165397,3389.1699483394623,ok
refine,pps/refine/L128_z0.350_lam0.2701/real011.json,0.3700506918755994,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2701,0.35,11,0.2701,0.7299,128.0,128,0.17491334501365782,-9.280992219440437,3.09656687343426,0.33601173148109753,125.51816136239388,0.036906658767766054,1,0.6124122832408883,0.2087807241152933,1.746112792785225,0.7133751362313915,2.7952259902178396,3429.7861456871033,ok
refine,pps/refine/L128_z0.350_lam0.2810/real000.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,0,0.281,0.719,128.0,128,0.1681284501359038,-9.507330264022098,3.0712223081004955,0.3342565482038611,125.61377428952753,0.03802327433822171,1,0.5319810663850684,0.12651400256766723,1.6428773768132205,0.5202295846644653,3.041008653050799,3469.301193714142,ok
refine,pps/refine/L128_z0.350_lam0.2810/real001.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,1,0.281,0.719,128.0,128,0.1681284501359038,-9.438514725107062,2.6648564596787403,0.40776997926818465,125.41681127411981,0.03805414995759929,1,0.3885297764794645,0.14688134695623417,1.0084525859887683,0.652804698195668,2.439893862492373,3509.9715836048126,ok
refine,pps/refine/L128_z0.350_lam0.2810/real002.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,2,0.281,0.719,128.0,128,0.1681284501359038,-9.379444197872361,2.7737528788561394,0.36870745442718184,125.37008935348915,0.036532963625009324,1,0.575787277486026,0.16230979301206852,1.6142711374137182,0.5871639519640444,2.7610972796706093,3389.484226465225,ok
refine,pps/refine/L128_z0.350_lam0.2810/real003.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,3,0.281,0.719,128.0,128,0.1681284501359038,-9.580189768421787,2.963432356465582,0.402012585604214,125.50410222245804,0.03748017559142768,1,0.4210647909753425,0.14230598182048587,1.2349709507621953,0.5617848981454976,2.853455721211062,3534.317932844162,ok
refine,pps/refine/L128_z0.350_lam0.2810/real004.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,4,0.281,0.719,128.0,128,0.1681284501359038,-9.446010175386453,2.6848305241181984,0.3854770616685649,125.60302078800161,0.03710541227446862,1,0.7067143914659457,0.23147163625902176,2.3462263854117773,0.9395906379704646,3.2488336870871115,3488.7492864131927,ok
refine,pps/refine/L128_z0.350_lam0.2810/real005.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,5,0.281,0.719,128.0,128,0.1681284501359038,-9.609996527937989,2.7311033266215365,0.3569085065851701,125.83704812859152,0.037493111124892356,1,0.7679573932676417,0.21710058668280233,2.4590825088288355,0.9539929703331667,3.1460855078953234,3465.4466733932495,ok
refine,pps/refine/L128_z0.350_lam0.2810/real006.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,6,0.281,0.719,128.0,128,0.1681284501359038,-9.515183040639485,2.9043888384031136,0.3045617461444375,125.34562272760616,0.03704806312146242,1,0.37824092766823747,0.1607767478177703,0.9469462032533269,0.5246077265341207,2.443907401556302,3488.346127510071,ok
refine,pps/refine/L128_z0.350_lam0.2810/real007.json,0.3908205841446454,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.281,0.35,7,0.281,0.719,128.0,128,0.1681284501359038,-9.538291557098832,2.876339040186258,0.23320437210122616,125.74088480566311,0.03790419021880823,1,0.6684628450234988,0.1914823969253928,1.878117495821812,0.8478559962565521,2.7498114682191575,3449.4046800136566,ok
