source_task,source_arm,source_file,L,T,zeta,lam,N_c,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_within_var,n_nonfinite,n_distinct_anc_final,gess_final,ess_cum_final,ess_frac_mean,brentq_fallbacks
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00031.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300031,ok,1861.36,395,0.3347395930623828,0.052428563876286194,0,2,1.9400541732656413,1012.5171617656013,0.9887605589062686,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00032.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300032,ok,1876.01,395,0.39813397743838363,0.048477929275182505,0,3,1.4344051719656699,1012.1691655284216,0.9888012124035013,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00033.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300033,ok,1863.74,395,0.36168620606718516,0.04904573690009556,0,4,2.4698062455542,1011.7208247334198,0.9889992116824406,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00034.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300034,ok,1849.86,395,0.3274572649635632,0.05171840987637172,0,1,1.0,1012.6037606049684,0.9885682408282617,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00035.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300035,ok,1868.93,395,0.405953619274709,0.06512996885581732,0,2,1.1818403137820657,1011.7140599866157,0.9886052855814077,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00036.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300036,ok,1850.89,395,0.42331325565608774,0.05000383133799418,0,1,1.0,1011.8056483289846,0.9886636684668926,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00037.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300037,ok,1862.35,395,0.3994351799563013,0.05344251987403103,0,1,1.0,1011.9604589675191,0.9886260731585995,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00038.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300038,ok,1856.8,395,0.44213785840800734,0.04435701029676852,0,1,1.0,1011.5476059886377,0.9885205494138992,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00039.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300039,ok,1852.91,395,0.3285377776715206,0.05041106272843103,0,3,2.5179158882544197,1012.5525196335267,0.9886066626133901,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00040.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300040,ok,1844.18,395,0.36442387364740764,0.04132352701995346,0,1,1.0,1011.892165255937,0.988527003810522,0
