L,zeta,lambda,nreal,CMI,CMI_se,B_L,B_L_se
64,0.2,0.1342,12,1.017319126941074,0.03595898925207196,3.0874883552088708,0.13556335178867807
64,0.2,0.1677,12,0.7925690866142808,0.02764779485917005,2.1827718578745445,0.0957037863403142
64,0.2,0.2012,12,0.737966335550133,0.03126474424815486,1.8903848388156763,0.09647286443930085
64,0.2,0.2348,12,0.5552759957495991,0.023888646697727348,1.2746978386750756,0.0685599375189823
64,0.2,0.2683,12,0.322279680261133,0.013066738195667574,0.6400914615159153,0.028005033377621294
64,0.2,0.313,12,0.1793868139168725,0.006148589506591914,0.3128188656627583,0.012640184304597808
64,0.2,0.3578,12,0.11238577491285313,0.005343783970966536,0.18235190700833484,0.00844328531521157
64,0.25,0.15,12,1.090806093846949,0.030988764815976167,3.578160140198012,0.14112790961976532
64,0.25,0.1875,12,0.8434135206870286,0.022759854818379457,2.4399924277884915,0.09402724692008385
64,0.25,0.225,12,0.7001292930067547,0.016574300344632913,1.820071251345938,0.06733491247124922
64,0.25,0.2625,12,0.43459475166633776,0.020588802650784978,0.9356147728156904,0.05377307550869327
64,0.25,0.3,12,0.2736308626760529,0.010869318141695157,0.5220022504390006,0.024325584082904913
64,0.25,0.35,12,0.14551766430890725,0.0093163466337422,0.24990535828133412,0.016771352486981472
64,0.25,0.4,12,0.05122752891703904,0.0035439184864535416,0.08018413726551692,0.005453370487724126
64,0.3,0.1643,12,1.2383957540047132,0.046219799019153365,4.473966913986316,0.2338021307438853
64,0.3,0.2054,12,0.9222349705549754,0.032014468339668735,2.8910930653692724,0.12878592733803357
64,0.3,0.2465,12,0.6690574402610633,0.02368369188540626,1.7119296885649418,0.07775904361052279
64,0.3,0.2876,12,0.41334135755093776,0.027708985754772167,0.9101472497615344,0.07240370144021037
64,0.3,0.3286,12,0.24398269038156561,0.012058346740089508,0.4520611762163873,0.024053713124370327
64,0.3,0.3834,12,0.0992081712589807,0.01046922780097742,0.16361615580416983,0.018187220681881264
64,0.3,0.4382,12,0.026998372862995904,0.003011335136392604,0.03999130966787618,0.0042851650856702405
64,0.35,0.1775,12,1.317560933316863,0.06336220458943326,5.077656405667816,0.36708140415783813
64,0.35,0.2219,12,0.9816809991914321,0.06342250381555355,3.2465882953691634,0.2979595080816016
64,0.35,0.2662,12,0.6648129040472838,0.038550467531581346,1.7531392702858428,0.13802128269166777
64,0.35,0.3106,12,0.3493084500062824,0.02618777982407039,0.7337357402424124,0.0645514148982453
64,0.35,0.355,12,0.19077434260299486,0.012906421739908676,0.35200759910996937,0.023812716969619518
64,0.35,0.4141,12,0.06274109193695938,0.006698269253837518,0.09967278162554467,0.01127250153750623
64,0.35,0.4733,12,0.013365770949377626,0.0015207929991351242,0.019641501777001608,0.0022704632840577057
64,0.4,0.1897,12,1.4187819642602086,0.04994228383571786,5.7312657817738,0.3204735734389284
64,0.4,0.2372,12,1.0612714082349004,0.038248607273479424,3.527052788579917,0.1898685383686625
64,0.4,0.2846,12,0.6536902376835715,0.03900036778809237,1.7093221665746234,0.11706225218515644
64,0.4,0.332,12,0.3295093884806081,0.02288314458004293,0.7084540839885282,0.062358534985976974
64,0.4,0.3795,12,0.18187645299128408,0.011019537214773837,0.33173749718981627,0.021122708112364122
64,0.4,0.4427,12,0.04005586673060539,0.0051392122748096895,0.06329061916448765,0.008226019156025494
64,0.4,0.506,12,0.005246852135397562,0.0007921662101286604,0.007242721395583605,0.001016881501030675
64,0.5,0.2121,12,1.6828987419137782,0.04097642931901817,7.707890315715393,0.2927688555479752
64,0.5,0.2652,12,1.2199823715297693,0.031613889738642785,4.496787207353653,0.16055526419192723
64,0.5,0.3182,12,0.7605495362768329,0.030452162378360487,2.2393821027703207,0.1152074944213012
64,0.5,0.3712,12,0.4330650832094795,0.03456639747204094,1.0243712240424407,0.10269287542919407
64,0.5,0.4243,12,0.14691648928588077,0.016779142017758288,0.27747870056890145,0.03424012191092073
64,0.5,0.495,12,0.029101812504138635,0.006923886747395443,0.044310595370896495,0.010652974066156498
64,0.5,0.5657,12,0.002805319474476396,0.0010034351679098909,0.003702187270637236,0.0013433818961128155
64,0.6,0.2324,12,1.7649235593588752,0.027401848873280184,8.537518585802033,0.18632506120971154
64,0.6,0.2905,12,1.3119604886721197,0.012372475671440798,5.196106555319008,0.07853534570883819
64,0.6,0.3486,12,0.8193311210983114,0.02292879742188199,2.5258540308351214,0.10328745198157482
64,0.6,0.4067,12,0.3908608151788792,0.022660594207799024,0.9110477771785347,0.06254116297082947
64,0.6,0.4648,12,0.1749545373727602,0.022605413916567244,0.3275282278446466,0.0413739622195999
64,0.6,0.5422,12,0.01772407497257816,0.004060367698768489,0.02574474219540088,0.005994053848294929
64,0.6,0.6197,12,0.0018815234578454104,0.0010762833021986998,0.0022940518687995163,0.001273966659780139
64,0.7,0.251,12,1.7377587442247664,0.022295767488114977,8.490979119393856,0.15511013302517743
64,0.7,0.3137,12,1.249850112619454,0.025815146290151098,4.895648918839914,0.1356726530701836
64,0.7,0.3765,12,0.8651739365029911,0.025627951298120705,2.6634898462127095,0.1012989380808454
64,0.7,0.4392,12,0.46501231943930693,0.022528237368219448,1.1273759407253228,0.06736958513632331
64,0.7,0.502,12,0.1762150868301633,0.02752161676866369,0.32758730777675554,0.057235538012148576
64,0.7,0.5857,12,0.01469456889843568,0.004345907812175729,0.021756403961015025,0.006004149557327023
64,0.7,0.6693,12,0.001105038557593456,0.0006620929779627818,0.0012783730492761873,0.0007417470038193399
64,0.8,0.2683,12,1.7794432616959075,0.0113077941582478,8.767382262274262,0.0712209903640601
64,0.8,0.3354,12,1.219784228383703,0.012087605689512502,4.68518200502237,0.0582818126503949
64,0.8,0.4025,12,0.820031484383091,0.01707055712916916,2.468578942214696,0.0688980668166984
64,0.8,0.4696,12,0.42150924395113637,0.019805840186603217,0.9739905146335442,0.05314240167136792
64,0.8,0.5367,12,0.13419785896978745,0.009817587005456594,0.24346511460680043,0.01688776655822016
64,0.8,0.6261,12,0.008477254898595436,0.0020249368533175665,0.012406450007796688,0.003210090385827175
64,0.8,0.7155,12,0.000201117572050544,6.612778171217829e-05,0.00025128780366324874,8.495908076580264e-05
64,0.9,0.2846,12,1.6484394805984286,0.012962391289420136,7.7232196096919195,0.07248454004252348
64,0.9,0.3558,12,1.18700183424311,0.008640395925815841,4.407956355551413,0.04371857389739642
64,0.9,0.4269,12,0.7674628967320228,0.015674288516711873,2.203810403262645,0.050335514399235344
64,0.9,0.4981,12,0.4004549033515425,0.016146088385276473,0.8978266124375388,0.04372672086109506
64,0.9,0.5692,12,0.11852896957164255,0.006830647871332433,0.2096907442159065,0.014753275134922658
64,0.9,0.6641,12,0.0065098875808217984,0.0012272075378524756,0.009237549937765231,0.0018382161179382051
64,0.9,0.7589,12,1.258646862528316e-05,4.932555592164045e-06,1.374491422010856e-05,5.298633075021601e-06
64,1.0,0.3,12,1.506832460096266,0.009578856448596466,6.638742547696744,0.042630439807296486
64,1.0,0.375,12,1.022157471013336,0.007720335480550578,3.4873881011026033,0.029771596445739568
64,1.0,0.45,12,0.6331373487842388,0.006546611233691789,1.6498391800516004,0.0242071182348635
64,1.0,0.525,12,0.265452871391412,0.0058288983148939615,0.5220256166977877,0.01217658855928885
64,1.0,0.6,12,0.057268804867385316,0.003235738355585853,0.09064399828424913,0.005177234425713711
64,1.0,0.7,12,0.003361976149489416,0.0011808971300251358,0.004266763578990795,0.0014704509798427988
64,1.0,0.8,12,3.507347781990262e-05,2.3242746008537546e-05,4.2445759116514146e-05,2.9573734340674494e-05
80,0.05,0.0671,12,1.081914145979164,0.011238925884698242,2.948803084810683,0.0513262904385329
80,0.05,0.0839,12,0.9851730735643881,0.012642659845581015,2.507354822723338,0.046253397733608495
80,0.05,0.1006,12,0.5911626878271964,0.008665704619011559,1.4134605100348905,0.028310571025528617
80,0.05,0.1174,12,0.5917098817454468,0.008554725031605339,1.3674578552687817,0.029014809661363928
80,0.05,0.1342,12,0.7537192340724115,0.009822488435225136,1.796859739789073,0.03230516028335847
80,0.05,0.1565,12,0.5897972805585473,0.007847994601230262,1.274092911415845,0.020871075256127917
80,0.05,0.1789,12,0.44812920878701834,0.005700249147831135,0.8814818793456869,0.014958395743328124
80,0.1,0.0949,12,0.9610758524385458,0.024308797936412628,2.8133452127766385,0.1013892512632435
80,0.1,0.1186,12,0.7580601695993036,0.014863236135710625,2.0249580409623573,0.050940771977447376
80,0.1,0.1423,12,0.660206380055307,0.01736402880764205,1.6789516700999423,0.05224269296714709
80,0.1,0.166,12,0.691089337350781,0.015285011097406848,1.6631024299135655,0.04955975781022301
80,0.1,0.1897,12,0.48228424898151695,0.010587060023009135,1.0339681263859657,0.026792210120860683
80,0.1,0.2214,12,0.29064950499296593,0.006540711645023255,0.5553513251585807,0.015829037186920872
80,0.1,0.253,12,0.200837940778678,0.005458608257614504,0.3578958760214535,0.011000357297493029
80,0.15,0.1162,12,0.931902084992641,0.026433374506179014,2.9540661262031747,0.11432112191483215
80,0.15,0.1452,12,0.7638171531296926,0.012650504197670316,2.101432227538531,0.05296271966056498
80,0.15,0.1743,12,0.7178628413176428,0.019686897003018143,1.8644612706100228,0.062418714737233504
80,0.15,0.2033,12,0.4734447502622742,0.010464267100137368,1.0607484808196854,0.031394362084159085
80,0.15,0.2324,12,0.3201843793936258,0.015317487284850698,0.6431865182782087,0.03515704552630092
80,0.15,0.2711,12,0.22556186597327024,0.009165781961860405,0.40986612396611966,0.01596581981139843
80,0.15,0.3098,12,0.12831772853184772,0.005898300808331784,0.21381072426139122,0.010443861013799053
80,0.2,0.1342,12,1.164627625619316,0.03618572094283901,4.146847869935868,0.18263331459040158
80,0.2,0.1677,12,0.8713355309296124,0.03480127633387795,2.6142517294413836,0.1350196579820598
80,0.2,0.2012,12,0.6427499827598221,0.03256749194307733,1.6664241720752964,0.10577918219827522
80,0.2,0.2348,12,0.43697602490254445,0.01852060467155944,0.9920341994434088,0.05343516857360115
80,0.2,0.2683,12,0.2579112761081012,0.01103626680153366,0.49957155496714406,0.022205873542334685
80,0.2,0.313,12,0.1662005887279892,0.01121563657252642,0.2920880603943056,0.020151416352947163
